region,province,city,district,psgc,xcode
Region I,Ilocos Norte,Marcos,Escoda,012813006,01IN13006
Region I,Ilocos Norte,Marcos,Ferdinand,012813007,01IN13007
Region I,Ilocos Norte,Marcos,Fortuna,012813008,01IN13008
Region I,Ilocos Norte,Marcos,Lydia,012813009,01IN13009
Region I,Ilocos Norte,Marcos,Mabuti,012813010,01IN13010
Region I,Ilocos Norte,Marcos,Valdez,012813011,01IN13011
Region I,Ilocos Norte,Marcos,Tabucbuc,012813012,01IN13012
Region I,Ilocos Norte,Marcos,Santiago,012813013,01IN13013
Region I,Ilocos Norte,Marcos,Cacafean,012813014,01IN13014
Region I,Ilocos Norte,Nueva Era,Acnam,012814001,01IN14001
Region I,Ilocos Norte,Nueva Era,Barangobong,012814002,01IN14002
Region I,Ilocos Norte,Nueva Era,Barikir,012814003,01IN14003
Region I,Ilocos Norte,Nueva Era,Bugayong,012814004,01IN14004
Region I,Ilocos Norte,Nueva Era,Cabittauran,012814005,01IN14005
Region I,Ilocos Norte,Nueva Era,Caray,012814006,01IN14006
Region I,Ilocos Norte,Nueva Era,Garnaden,012814007,01IN14007
Region I,Ilocos Norte,Nueva Era,Naguillan,012814008,01IN14008
Region I,Ilocos Norte,Nueva Era,Poblacion,012814009,01IN14009
Region I,Ilocos Norte,Nueva Era,Santo Nino,012814010,01IN14010
Region I,Ilocos Norte,Nueva Era,Uguis,012814011,01IN14011
Region I,Ilocos Norte,Pagudpud,Aggasi,012815001,01IN15001
Region I,Ilocos Norte,Pagudpud,Baduang,012815003,01IN15003
Region I,Ilocos Norte,Pagudpud,Balaoi,012815004,01IN15004
Region I,Ilocos Norte,Pagudpud,Burayoc,012815005,01IN15005
Region I,Ilocos Norte,Pagudpud,Caunayan,012815006,01IN15006
Region I,Ilocos Norte,Pagudpud,Dampig,012815007,01IN15007
Region I,Ilocos Norte,Pagudpud,Ligaya,012815008,01IN15008
Region I,Ilocos Norte,Pagudpud,Pancian,012815010,01IN15010
Region I,Ilocos Norte,Pagudpud,Pasaleng,012815011,01IN15011
Region I,Ilocos Norte,Pagudpud,Poblacion 1,012815012,01IN15012
Region I,Ilocos Norte,Pagudpud,Poblacion 2,012815013,01IN15013
Region I,Ilocos Norte,Pagudpud,Saguigui,012815014,01IN15014
Region I,Ilocos Norte,Pagudpud,Saud,012815015,01IN15015
Region I,Ilocos Norte,Pagudpud,Subec,012815016,01IN15016
Region I,Ilocos Norte,Pagudpud,Tarrag,012815017,01IN15017
Region I,Ilocos Norte,Pagudpud,Caparispisan,012815018,01IN15018
Region I,Ilocos Norte,Paoay,Bacsil,012816001,01IN16001
Region I,Ilocos Norte,Paoay,Cabagoan,012816002,01IN16002
Region I,Ilocos Norte,Paoay,Cabangaran,012816003,01IN16003
Region I,Ilocos Norte,Paoay,Callaguip,012816004,01IN16004
Region I,Ilocos Norte,Paoay,Cayubog,012816005,01IN16005
Region I,Ilocos Norte,Paoay,Dolores,012816006,01IN16006
